Activation,Optimizer,Learning Rate,Batch Size,SLP Accuracy,MLP Accuracy
ReLU(),SGD,0.001,10,0.5258095109063813,0.6441810052838368
ReLU(),SGD,0.001,30,0.5176534344939709,0.6441810052838368
ReLU(),SGD,0.001,90,0.6260398320010838,0.6441810052838368
ReLU(),SGD,0.01,10,0.5234927516596667,0.6441810052838368
ReLU(),SGD,0.01,30,0.5470532448177754,0.6441810052838368
ReLU(),SGD,0.01,90,0.5882807207695435,0.6441810052838368
ReLU(),SGD,0.1,10,0.6588944587454275,0.6441810052838368
ReLU(),SGD,0.1,30,0.6524319197940659,0.6441810052838368
ReLU(),SGD,0.1,90,0.6491261346700989,0.6441810052838368
ReLU(),SGD,1.0,10,0.7199566454409971,0.6441810052838368
ReLU(),SGD,1.0,30,0.7314997967755048,0.6441810052838368
ReLU(),SGD,1.0,90,0.7249017748272591,0.6441810052838368
ReLU(),Adam,0.001,10,0.5174231133992684,0.6441810052838368
ReLU(),Adam,0.001,30,0.5898929684324618,0.6441810052838368
ReLU(),Adam,0.001,90,0.6078715621189541,0.6441810052838368
ReLU(),Adam,0.01,10,0.6556970600189677,0.6441810052838368
ReLU(),Adam,0.01,30,0.6573364042812627,0.6441810052838368
ReLU(),Adam,0.01,90,0.6622679853678364,0.6441810052838368
ReLU(),Adam,0.1,10,0.7215417965045386,0.6441810052838368
ReLU(),Adam,0.1,30,0.7611570247933884,0.6441810052838368
ReLU(),Adam,0.1,90,0.7430158515106354,0.6441810052838368
ReLU(),Adam,1.0,10,0.6983742040373933,0.6441810052838368
ReLU(),Adam,1.0,30,0.7134128166915052,0.6441810052838368
ReLU(),Adam,1.0,90,0.7479609808968976,0.6441810052838368
ReLU(),RMSprop,0.001,10,0.5946484216230863,0.6441810052838368
ReLU(),RMSprop,0.001,30,0.5520796640021677,0.6441810052838368
ReLU(),RMSprop,0.001,90,0.601287088470397,0.6441810052838368
ReLU(),RMSprop,0.01,10,0.6952851917084406,0.6441810052838368
ReLU(),RMSprop,0.01,30,0.7232759788646524,0.6441810052838368
ReLU(),RMSprop,0.01,90,0.6985503319333424,0.6441810052838368
